name,stars,language,topics,description,last_updated,readme,clasificacion_ia
aaif-goose/goose,44.9k,Rust,ai; mcp; acp; ai-agents,"an open source, extensible AI agent that goes beyond code suggestions - install, execute, edit, and test with any LLM",Updated 19 minutes ago,"> **🦆 goose has moved!** This project has moved from `block/goose` to the [Agentic AI Foundation (AAIF)](https://aaif.io/) at the Linux Foundation. Some links and references are still being updated — please bear with us during the transition.  <div align=""center"">  # goose  _your native open source AI agent — desktop app, CLI, and API — for code, workflows, and everything in between_  <p align=""center"">   <a href=""https://opensource.org/licenses/Apache-2.0""     ><img src=""https://img.shields.io/",AI Agent (General)
pingcap/tidb,40.1k,Go,mysql; go; agent; sql; database,"TiDB is built for agentic workloads that grow unpredictably, with ACID guarantees and native support for transactions, analytics, and vec…",Updated 11 hours ago,"<div align=""center""> <a href='https://www.pingcap.com/?utm_source=github&utm_medium=tidb'> <img src=""docs/tidb-logo.png"" alt=""TiDB, a distributed SQL database"" height=100></img> </a>  ---  [![License](https://img.shields.io/badge/License-Apache_2.0-blue.svg)](https://github.com/pingcap/tidb/blob/master/LICENSE) [![Language](https://img.shields.io/badge/Language-Go-blue.svg)](https://golang.org/)  [![Build Status](https://prow.tidb.net/badge.svg?jobs=merged-tidb-build)](https://prow.tidb.net/?rep",Database / Data Warehouse
1Panel-dev/1Panel,35.4k,Go,linux; agent; docker; lnmp; openresty,"🔥 1Panel is a modern, open-source VPS control panel — and the only one with native AI agent support. Run Ollama models, deploy OpenClaw a…",Updated 9 hours ago,"<p align=""center""><a href=""https://1panel.pro""><img src=""https://resource.1panel.pro/img/1panel-logo.png"" alt=""1Panel"" width=""300"" /></a></p>  <h3 align=""center"">The open-source VPS control panel with native AI agent support</h3>  <p align=""center"">   Trusted by <strong>2,000,000+</strong> self-hosters worldwide </p>  <p align=""center"">   <a href=""https://trendshift.io/repositories/2462"" target=""_blank""><img src=""https://trendshift.io/api/badge/repositories/2462"" alt=""1Panel-dev%2F1Panel | Trend",Infrastructure / DevOps
vercel-labs/agent-browser,32.4k,Rust,,Browser automation CLI for AI agents,Updated 2 days ago,# agent-browser  Browser automation CLI for AI agents. Fast native Rust CLI.  [![skills.sh](https://skills.sh/b/vercel-labs/agent-browser)](https://skills.sh/vercel-labs/agent-browser)  ## Installation  ### Global Installation (recommended)  Installs the native Rust binary:  ```bash npm install -g agent-browser agent-browser install  # Download Chrome from Chrome for Testing (first time only) ```  ### Project Installation (local dependency)  For projects that want to pin the version in `package.,Browser / Web Automation
zeroclaw-labs/zeroclaw,31.2k,Rust,agent; ai; os; ml; infra,"Fast, small, and fully autonomous AI personal assistant infrastructure, ANY OS, ANY PLATFORM — deploy anywhere, swap anything 🦀",Updated 6 hours ago,"<p align=""center"">   <img src=""https://raw.githubusercontent.com/zeroclaw-labs/zeroclaw/master/docs/assets/zeroclaw-banner.png"" alt=""ZeroClaw"" width=""600"" /> </p>  <h1 align=""center"">🦀 ZeroClaw — Personal AI Assistant</h1>  <p align=""center"">   <strong>You own the agent. You own the data. You own the machine it runs on.</strong> </p>  <p align=""center"">   <a href=""https://github.com/zeroclaw-labs/zeroclaw/actions/workflows/ci.yml""><img src=""https://img.shields.io/github/actions/workflow/status/z",AI Agent (General)
googleworkspace/cli,26k,Rust,rust; cli; automation; oauth2; google-drive,"Google Workspace CLI — one command-line tool for Drive, Gmail, Calendar, Sheets, Docs, Chat, Admin, and more. Dynamically built from Goog…",Updated 38 minutes ago,"<h1 align=""center"">gws</h1>  **One CLI for all of Google Workspace — built for humans and AI agents.**<br> Drive, Gmail, Calendar, and every Workspace API. Zero boilerplate. Structured JSON output. 40+ agent skills included.  > [!NOTE] > This is **not** an officially supported Google product.  <p>   <a href=""https://www.npmjs.com/package/@googleworkspace/cli""><img src=""https://img.shields.io/npm/v/@googleworkspace/cli"" alt=""npm version""></a>   <a href=""https://github.com/googleworkspace/cli/blob",Office / Productivity
charmbracelet/crush,24.1k,Go,ai; llms; agentic-ai; ravishing,Glamourous agentic coding for all 💘,Updated 20 hours ago,"# Crush  <p align=""center"">     <a href=""https://stuff.charm.sh/crush/charm-crush.png""><img width=""450"" alt=""Charm Crush Logo"" src=""https://github.com/user-attachments/assets/cf8ca3ce-8b02-43f0-9d0f-5a331488da4b"" /></a><br />     <a href=""https://github.com/charmbracelet/crush/releases""><img src=""https://img.shields.io/github/release/charmbracelet/crush"" alt=""Latest Release""></a>     <a href=""https://github.com/charmbracelet/crush/actions""><img src=""https://github.com/charmbracelet/crush/actions",AI Agent (General)
qax-os/excelize,20.6k,Go,visualization; microsoft; go; agent; formula,Go language library for reading and writing Microsoft Excel™ (XLAM / XLSM / XLSX / XLTM / XLTX) spreadsheets,Updated 9 days ago,"<p align=""center""><img width=""650"" src=""./excelize.svg"" alt=""Excelize logo""></p>  <p align=""center"">     <a href=""https://github.com/xuri/excelize/actions/workflows/go.yml""><img src=""https://github.com/xuri/excelize/actions/workflows/go.yml/badge.svg"" alt=""Build Status""></a>     <a href=""https://codecov.io/gh/qax-os/excelize""><img src=""https://codecov.io/gh/qax-os/excelize/branch/master/graph/badge.svg"" alt=""Code Coverage""></a>     <a href=""https://goreportcard.com/report/github.com/xuri/exceliz",Office / Productivity
screenpipe/screenpipe,18.6k,Rust,machine-learning; ai; computer-vision; ml; agi,Run agents that work based on what you do. 24/7 local screen & mic recording for the superintelligence era,Updated 1 hour ago,"<p align=""center"">    <a href =""https://screenpi.pe"">       <img src=""https://github.com/user-attachments/assets/d3b1de26-c3c0-4c84-b9c4-b03213b97a30"" alt=""logo"" width=""200"">    </a> </p>  <h1 align=""center"">[ screenpipe ]</h1>   <p align=""center"">AI memory for your screen</p> <p align=""center"">run agents that work for you based on what you do</p>   <p align=""center"">   <a href=""https://screenpi.pe/onboarding"" target=""_blank"">     <img src=""https://img.shields.io/badge/download-desktop%20app-bl",AI Agent (General)
vxcontrol/pentagi,16.7k,Go,react; graphql; golang; open-source; self-hosted,Fully autonomous AI Agents system capable of performing complex penetration testing tasks,Updated 6 hours ago,"# PentAGI  <div align=""center"" style=""font-size: 1.5em; margin: 20px 0;"">     <strong>P</strong>enetration testing <strong>A</strong>rtificial <strong>G</strong>eneral <strong>I</strong>ntelligence </div> <br> <div align=""center"">  > **Join the Community!** Connect with security researchers, AI enthusiasts, and fellow ethical hackers. Get support, share insights, and stay updated with the latest PentAGI developments.  [![Discord](https://img.shields.io/badge/Discord-7289DA?logo=discord&logoColor",Security / Pentesting
